english_tweet,label
how do you guys like the music choreography proof time video by officialjkt48 https t co tptv86xqnc,Netral
adikaradina adriandhy aboorijal bakery fictitious bakery indonesian animated film jumbo 2025 seruni village background aboorijal name funny pun original word often use indonesian comedy mimic misheard luxury,Positif
wts ticket promo b1g1 cepol all movies price 1 ticket  20k  2 tickets  cgv discount 3k ticket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back super family irit stock limit  zonauang https t co dlhotnqlio,Positif
know ajakin my brother ajkin pay maybe we biarin children 9 years old rich pay for it ourselves that's why never asked for it now nyesel jumbo movie not airing he watched it fyi i never watched the movie ga,Positif
"jumbo movies don't think for him to see his brother, he's not the type of max person who wants to watch him a few times coding it often says jumbo, what he never asked to watch the family's condition now is good for the economy",Positif
eps 2 pt 1 allobankid  day 2 a little bit you're a good friend treasure want to sing brng prince poetiray alas nephew in kalimantan love sm movie jumbo gift for because bln birthday pasbuatkamu allobankfestival2025,Positif
wts promo voucher watch cepol buy 1 free 1 b1g1 interest wa zonauang film how to train your dragon gjls mother mother family super irit da evil eye not finished here mission impossible ballerina maghrib time 2 divination jumbo gjls mother review,Negatif
adriandhy min adain film jumbo netflix netflixid want to rewatch 100x,Netral
bicaraboxoffice visinemaid jumbofilm id adriandhy proud to be for 10 million more watch klo dlu core memory mamak film tualang sherina now core memory anak film jumbo ost ny hapal film aired anyway i m sooooo happy,Positif
bangghulam cinepoint early jumbo 60 thousand is still new different gjls famous so the direct launch of joss jumbo becomes an alternative Eid film for horror competitors cheating can be 1 million 1 week first,Positif
75th day Friday at 13 6 jumbo movies out of java supermall cinema there are 2 semarang kofindo cinemas,Netral
day 75 jumbo movie screening schedule jum at 13 6 mangkang 11 50 image 14 35 18 55,Netral
also happy that the jumbo movie was successful but I'm so sorry that bang ryan live that ngalor ngidul didn't have time to watch,Positif
irfadio adriandhy different that let gjls mother mother walk alone embarrassed all eg film ngalahin jumbo film baik number one indonesia length of time there are Indonesian citizens bully citizens of other countries stupid,Negatif
rigensih must tara jumbo lah bang watch remember the movie gjls kan jumbo nya 3,Netral
another tweet about gjls and jumbo just realized my semester and just watching indo movies is very very magical different one magic magic fairy fairy fairy childhood one magic macem magic witch santet https t co qypoozqkgv,Positif
hahahah kasi really watch indonesia diusahain dipinterin then jumbo and then turned around so stupid with gjls leakin how to be sure investors ginian plissssss movie ideas think drenched the most stupid gjls https t co qhd1ykpjrx,Negatif
rigensih sir gen watched bella terra earlier one movie theater laugh no funny goblokk reallyettt thank you udsh for this movie sehahwkwkwkwk tired of working straight day neng again watching it good luck for 3 jumbo gjls,Positif
tomorrow i want to watch jumbo movie cinema for the first time ambivert likes to be crowded also likes to be quiet  so watching jumbo movie now it feels right not to be crowded alhamdulillah airing jogja,Positif
thisisyudhis favorite movie fast and furious tokyo drift jumbo well new fit klo gin lancer evo speed,Positif
"chtaeryeong hehehe tmi trainee also became the leader, thank you, brother, praise you for being embarrassed because you are beautiful so you watch jumbo movies",Positif
adriandhy u guys at the top congrats n enjoy about how long you guys last how long  let's go the Indonesian film is ready for a new film to shake the rahta jumbo the spirit of Indonesian filmmakers,Positif
hifdzikhoir mas hip watch film gjls how many million  ngelewatin jumbo,Positif
"saras yudhis wants to bury the corpse of the father instead of rising up the way is it true to finish the inspiration of the true story podcast lantern night filmselepastahlil aired July 10, 2025 cinema lenteramalam https t co q7toqwiwrn",Positif
ekky1995 broke the jumbo film record to watch 40 million select anies,Netral
sirsangwon aight bruh i got it the moment cold water hits the feet all problems just vanished really cute u like nurman jumbo movie like really nyatet-nyatet yess beautiful samsat afternoon,Positif
fuckanyghost what is the title of the movie grok,Netral
sadh haven't had time to watch the movie but I congratulate jumbo all the team watching the film supporter moga always success ahead of the work,Positif
adriandhy bang ryan all friends behind the scenes jumbo thank you jumbo for making this warm film full of love wait for the next work,Positif
signing outt still airs how come the cinema showtime tipiss so bibo cinepoint account stop tracking performance,Netral
the diagram of the vice of taste so buzzerjumbo is mixed up very happy to be proud of the tree dear to jumbo you are not just watching for the road of this film you are jumbo films will be great thank you friends https t co utfy6yarja,Positif
new movie Thursday 12 6 aired  1 gaza  2 smile manies love story  3 the dark house  4 super economical family 5 gjls mother  6 gowok kamasutra jawa uncut 7 tak finished here 8 divinations by risa saraswati amp dimasta 9 maghrib time 2 10 jumbo gt gt,Positif
watch gjls first day on top of jumbo first day fix film number 1 indonesia locked rigensih hifdzikhoir anantarispo,Positif
